dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.country,dc.publisher.place,dc.relation.ispartofbook,item.journal.title,dc.relation.medium,dc.title,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/660207,ita,1989,-,-,Tranchida,-,Milano,-,-,-,Proiezioni urbane. La realtà dell'immaginario,città; cinema; immaginario; scenari urbani; sguardo; percezione; esperienza,06.1 Curatela,none,1,"GALBIATI, MARIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/564075,ita,1990,-,-,Franco Angeli,ITA,Milano,-,-,-,Nuove vie del design in Giappone.,Design; Significati; Funzione; Linguaggi; Industria giapponese.,06.1 Curatela,none,3,"L. Migliore;PICCINNO, GIOVANNA;M. Servetto"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/660210,ita,1991,-,-,Tranchida,-,Milano,-,-,-,Alessandro Mendini. La poltrona di proust,mendini; filosofia del progetto; poltrona di Proust,06.1 Curatela,none,1,"GALBIATI, MARIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/660626,ita,1991,-,-,Tranchida Editori,-,Milano,-,-,-,Lo sguardo discreto. habitat e fotografia,fotografia; territorio; rappresentazione; città; sguardo; percezione,06.1 Curatela,none,1,"GALBIATI, MARIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/570619,ita,1992,-,nazionale,Il Mulino,ITA,-,-,-,-,I trasporti e l'industria,-,06.1 Curatela,none,1,"PONTI, MARCO GUIDO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/660214,ita,1992,-,-,Tranchida,-,Milano,-,-,-,Soglie urbane. Uno sguardo fotografico sul territorio,fotografia; territorio; sguardo; città; percezione; soglia; abitare,06.1 Curatela,none,1,"GALBIATI, MARIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/504083,ita,1995,-,nazionale,Vita e Pensiero,-,MILANO,-,-,-,Erich Przywara. Analogia entis,-,06.1 Curatela,none,1,"VOLONTE', PAOLO GAETANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/660156,arp,1996,-,-,Guerini e Associati,ITA,Milano,-,-,-,Fotografia e paesaggio. La rappresentazione fotografica del territorio,Fotografia; paesaggio; territorio; immagine; rappresentazione,06.1 Curatela,none,3,"GALBIATI, MARIA LUISA;P. Pozzi;R. Signorini"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/504078,ita,1997,-,nazionale,Rusconi,-,MILANO,-,-,-,Max Weber. La scienza come professione,-,06.1 Curatela,none,1,"VOLONTE', PAOLO GAETANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532644,-,1997,-,-,edizioni Bruno Mondadori,ITA,MILANO,-,-,-,"L’architettura moderna del Novecento (Modern Architecture since 1900),",-,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"BARBARA, ANNA;RODRIQUEZ C."
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/562603,ita,1997,-,-,Guerini,-,Milano,-,-,-,Luciano Baldessari nelle carte del suo archivio,Archivi di architettura e design; disegno di progetto; catalogazione; Luciano Baldessari; architettura italiana XX secolo; futurismo; razionalismo; Milano; Rovereto,06.1 Curatela,none,1,"CIAGA', GRAZIELLA LEYLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532728,ita,1998,-,nazionale,Guerini,ITA,MILANO,Progetto processo prodotto. variabili di innovazione,-,-,"Progetto, processo, prodotto. Variabili di innovazione",-,06.1 Curatela,none,2,"PENATI, ANTONELLA VALERIA;SEASSARO A."
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/693611,eng,1998,-,-,CHARTA,ITA,Milano,-,-,-,Niki de Saint Phalle the Tarot Garden,arte ambientale; installazione architettonica; nuovo realismo; ready made,06.1 Curatela,none,1,"MAZZANTI, ANNA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/504076,ita,1999,-,nazionale,La Nuova Italia,-,SCANDICCI,-,-,-,Max Weber. L'etica della responsabilità,-,06.1 Curatela,none,1,"VOLONTE', PAOLO GAETANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532384,-,1999,-,nazionale,Moretti&Vitali,ITA,BERGAMO,-,-,-,Auditorium di Milano. Una casa per la musica,-,06.1 Curatela,none,1,"ZINGALE, SALVATORE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532856,-,2000,-,nazionale,Soprintendenza archeologica di Pompei,ITA,NAPOLI,-,-,-,"12 Progetti per Pompei. Un sistema d'identità visiva per la Soprintendenza archeologica, Catalogo della mostra, Napoli - Palazzo Reale 10-28 nov., Soprintendenza archeologica di Pompei,",-,06.1 Curatela,none,1,"RICCO', DINA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/558159,eng,2000,-,internazionale,-,-,Milano,-,-,-,Design Plus Research: proceedings of the Politecnico di Milano conference,Design research,06.1 Curatela,none,3,"PIZZOCARO, SILVIA LUISA;A. Arruda;D. De Moraes"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/558164,ita,2000,-,internazionale,Poli.Design,-,Milano,Didattica&Design,-,-,Didattica&design. Processi e prodotti formativi nell'università che cambia,-,06.1 Curatela,none,2,"PENATI, ANTONELLA VALERIA;SEASSARO, ALBERTO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/558165,-,2000,-,internazionale,Poli.Design,-,Milano,-,-,-,Il design per i Distretti industriali,-,06.1 Curatela,none,2,"MAFFEI, STEFANO;SIMONELLI, GIULIANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/255146,eng;ita,2001,-,internazionale,Edizioni Poli.Design,-,Milano,-,-,-,"Un progetto pilota.DxD-Design dor District, Progetti per un distretto, Prodotto, Comunicazione strategica",-,06.1 Curatela,none,3,"CELASCHI, FLAVIANO;COLLINA, LUISA MARIA VIRGINIA;SIMONELLI, GIULIANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/270178,eng;ita,2001,-,internazionale,Edizioni Poli.Design,-,Milano,-,-,-,The themes of designing designers 2001,-,06.1 Curatela,none,2,"COLLINA, LUISA MARIA VIRGINIA;SIMONELLI, GIULIANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/561513,ita,2001,-,-,Edizioni POLI.design,-,Milano,-,-,-,MDM. Museo design Milano: il museo in rete per la rete dei musei,-,06.1 Curatela,none,3,"D. Moretti;J. Pallabazzer;REBAGLIO, AGNESE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/692962,ita,2001,-,-,GAI edizioni,-,-,-,-,-,Progettare il marchio. Identità del gai,-,06.1 Curatela,none,1,"PIAZZA, MARIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/242676,-,2002,-,nazionale,Edizioni Poli.Design,-,Milano,-,-,-,Il design dell'ospitalità: la sala delle feste dell'Hotel Hilton Milan,-,06.1 Curatela,none,3,"COLLINA, LUISA MARIA VIRGINIA;CRESPI, LUCIANO;F. Reinhart"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/264497,ita;eng,2002,-,internazionale,Silvana Editoriale,-,Milano,-,-,-,"Design for working places. Environment, energy, new technologies",-,06.1 Curatela,none,1,"INGARAMO, MATTEO ORESTE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/267750,-,2002,-,nazionale,Edizioni Poli.Design,-,Milano,-,-,-,Movie Design per la comunicazione aziendale: Il Caso Mangiameli,-,06.1 Curatela,none,1,"GALBIATI, MARIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/504754,ita;eng,2002,-,-,POLIdesign,ITA,MILANO,-,-,-,DesignNet. Knowledge e Information Management per il design,design knowledge; interfacce,06.1 Curatela,none,2,"CIUCCARELLI, PAOLO;INNOCENTI, PERLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532321,ita,2002,-,-,Edizioni Libria,ITA,MELFI (PZ),-,-,-,Rinnovare la tradizione: il design per il comparto ceramico di Cerreto Sannita e San Lorenzello.,design per lo sviluppo locale; product design; communication design,06.1 Curatela,none,3,"V. CRISTALLO;A. MORONE;PARENTE, MARINA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532385,-,2002,-,-,M&B Publishing,ITA,MILANO,-,-,-,Almanacco Tikkun 2002-2003,-,06.1 Curatela,none,3,"ZINGALE, SALVATORE;BONFANTINI M. A;S.T.O.C.C.H.I. G."
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532420,ita,2002,-,internazionale,Il Sole 24 Ore Edizioni,ITA,MILANO,-,-,-,I territori del design. Made in Italy e Sistemi Produttivi Locali,-,06.1 Curatela,none,2,"MAFFEI, STEFANO;SIMONELLI, GIULIANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/557131,-,2002,-,internazionale,Il Sole 24 Ore,-,Milano,-,-,-,"Milano distretto del Design: un sistema di luoghi, attori e relazioni al servizio dell’innovazione",-,06.1 Curatela,none,3,"BERTOLA, PAOLA;SANGIORGI, DANIELA;SIMONELLI, GIULIANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/557135,ita,2002,-,nazionale,Esselibri,-,Napoli,-,-,-,Edilizia sostenibile: 44 progetti dimostrativi,-,06.1 Curatela,none,2,"PIARDI, SILVIA ELVIRA MARIA;SCUDO, GIOVANNI"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/568593,-,2002,-,nazionale,Soprintendenza archeologica di Pompei,-,Napoli,-,-,-,Il design della comunicazione. L'esperienza della Soprintendenza archeologica di Pompei,-,06.1 Curatela,none,1,"RICCO', DINA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/692920,ita,2002,-,-,-,-,-,-,-,-,"Italic 1.0
Il disegno dei caratteri contemporaneo in Italia",-,06.1 Curatela,none,3,"P. Lenarduzzi;PIAZZA, MARIO;S. Sfligiotti"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/989812,ita,2002,-,-,Clup,-,-,-,-,-,Diritto d’Autori,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"CRIPPA, DAVIDE;DI PRETE, BARBARA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/242611,ita,2003,-,internazionale,Liguori Editore,-,Napoli,-,-,-,Nuove specie di spazi,-,06.1 Curatela,none,2,"FARE', IDA MARIA LUISA;PIARDI, SILVIA ELVIRA MARIA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/254410,-,2003,-,nazionale,Edizioni Poli.Design,-,Milano,-,-,-,DiLabb,-,06.1 Curatela,none,3,"DESERTI, ALESSANDRO;GALBIATI, MARIA LUISA;GALLI, FRANCESCO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/262254,-,2003,-,nazionale,Libreria Clup,-,Milano,-,-,-,Progettare e costruire imbarcazioni da diporto,-,06.1 Curatela,none,2,"PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/264969,-,2003,-,internazionale,Edizioni Poli.Design,-,Milano,-,-,-,CimbalImage. Il movie design per la comunicazione d'impresa. Un progetto per il gruppo Cimbali-Faema,-,06.1 Curatela,none,2,"GALBIATI, MARIA LUISA;TERRANOVA, ANDREA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532240,ita,2003,-,-,FrancoAngeli,ITA,MILANO,-,-,-,La creatività diffusa. Culture e mestieri della moda oggi,-,06.1 Curatela,none,1,"VOLONTE', PAOLO GAETANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532322,ita,2003,-,-,edizioni CLEAN,ITA,NAPOLI,-,-,-,Design e sistema-prodotto alimentare. Un'esperienza territoriale di ricerca azione.,food design; ricerca-azione; design per lo sviluppo locale,06.1 Curatela,none,4,"V. CRISTALLO;E. GUIDA;A. MORONE;PARENTE, MARINA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532345,-,2003,-,internazionale,poli.design,ITA,MILANO,-,-,-,Designing Designers: Design for a local global world,-,06.1 Curatela,none,2,"COLLINA, LUISA MARIA VIRGINIA;SIMONELLI, GIULIANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532386,-,2003,-,nazionale,Moretti&Vitali,ITA,BERGAMO,-,-,-,Un edificio per il terziario. La nuova sede ABB Italia a Sesto San Giovanni,-,06.1 Curatela,none,1,"ZINGALE, SALVATORE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532511,ita,2003,-,nazionale,Polidesign,ITA,MILANO,-,-,-,Ricerca design e sperimentazione per l’innovazione di prodotto nel settore dell’accessorio moda: il caso Mangiameli,-,06.1 Curatela,none,1,"BERTOLA, PAOLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532576,ita,2003,-,nazionale,Clup,ITA,MILANO,-,-,-,Progettare e costruire imbarcazioni da diporto,-,06.1 Curatela,none,2,"RATTI, ANDREA;PIARDI, SILVIA ELVIRA MARIA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/547790,ita,2003,-,-,Poli.design,ITA,Milano,-,-,-,STAR | Sistema Topologico Argomentativo della Ricerca | Costruire l’organizzazione della conoscenza |Il caso ME.Design,-,06.1 Curatela,none,2,"CASTELLI, ANTONELLA;VILLARI, BEATRICE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/570243,eng,2003,-,internazionale,CHARTA,ITA,Milano,-,-,-,Acqua-da-bere,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,1,"BARBARA, ANNA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/666015,ita,2003,-,-,Alinea,-,Firenze,-,-,-,16 tisaniere,-,06.1 Curatela,none,1,"TONELLI, MARIA CRISTINA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/690865,ita,2003,-,-,Gli Ori,ITA,Prato,-,-,-,Il Giardino di Daniel Spoerri,arte ambientale; arte ambientata; ready made,06.1 Curatela,none,1,"MAZZANTI, ANNA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/693207,ita,2003,-,nazionale,"CASVA, Centro di Alti Studi sulle Arti Visive, Comune di Milano",-,Milano,-,-,-,Gli archivi di architettura in Lombardia. Censimento delle fonti,-,06.1 Curatela,none,1,"CIAGA', GRAZIELLA LEYLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/242853,ita,2004,-,nazionale,Casa Editrice Charta,-,Milano,Come comete. Annunci e messaggi nella grafica della Triennale,-,-,Come Comete. Annunci e messaggi nella grafica della Triennale,Storia del design della comunicazione; Triennale di Milano; grafica; Milano; anni trenta; anni quaranta; anni cinquanta; anni settanta; anni ottanta; anni novanta,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"S. Annicchiarico;PIAZZA, MARIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/244604,-,2004,-,internazionale,Edizioni Poli.Design,-,Milano,-,-,-,Design Multiverso. Appunti di Fenomenologia del Design,-,06.1 Curatela,none,2,"BERTOLA, PAOLA;MANZINI, EZIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/247158,ita;eng,2004,-,nazionale,Edizioni Poli.Design,ITA,Milano,design at work 2004,-,-,Design at work 2004,-,06.1 Curatela,none,1,"PALMIERI, STEFANIA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/250135,-,2004,-,nazionale,Clup,-,Milano,-,-,-,Costruire imbarcazioni da diporto,-,06.1 Curatela,none,2,"PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/255226,ita,2004,-,nazionale,Edizioni Poli.Design,ITA,Milano,-,-,-,Il corpo delle cose,-,06.1 Curatela,none,1,"COLLINA, LUISA MARIA VIRGINIA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/263492,ita,2004,-,nazionale,Moretti&Vitali,-,Milano,-,-,-,L'usabilità dei prodotti industriali,Usabilità; User centred design; qualità d'uso,06.1 Curatela,none,2,"ANSELMI, LAURA;TOSI, FRANCESCA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532245,ita;ger,2004,-,-,Bompiani,-,MILANO,-,-,-,Edmund Husserl. Fenomenologia e teoria della conoscenza,-,06.1 Curatela,none,1,"VOLONTE', PAOLO GAETANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532346,-,2004,-,internazionale,Cranfield University,-,-,-,-,-,Solution oriented partnership. How to design industrialised sustainable solutions,-,06.1 Curatela,none,3,"MANZINI, EZIO;COLLINA, LUISA MARIA VIRGINIA;STEVE EVANS"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532533,ita,2004,-,internazionale,-,-,-,-,-,-,Progetto giovane,-,06.1 Curatela,none,2,"SIMONELLI, GIULIANO;BARONI D."
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532706,ita,2004,-,nazionale,FrancoAngeli,ITA,MILANO,-,-,-,Design della comunicazione ed esperienze di acquisto,-,06.1 Curatela,none,1,"BUCCHETTI, VALERIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/554612,ita,2004,-,nazionale,Edizioni POLI.Design,ITA,Milano,-,-,-,"Sapere, immaginare, fare: il design d’innovazione per l’elettrodomestico. Formazione post-lauream per il design dei prodotti a media complessità",-,06.1 Curatela,info:eu-repo/semantics/closedAccess,1,"RAMPINO, LUCIA ROSA ELENA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/554653,-,2004,-,nazionale,La rivista del colore,-,Vimercate (MI),-,-,-,Design e finitura dei compositi derivati dal legno,-,06.1 Curatela,none,1,"INGARAMO, MATTEO ORESTE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/563132,ita,2004,-,-,Apogeo,ITA,MILANO,-,-,-,Interaction Design,-,06.1 Curatela,none,1,"RIZZO, FRANCESCA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/641735,ita,2004,-,-,Maschietto Editore,ITA,Firenze,-,-,-,“SENTIERI NELL’ARTE”. Il contemporaneo nel paesaggio toscano,arte ambientale; site specific; environment art; scultura all'aperto; scultura ambientata; land art,06.1 Curatela,info:eu-repo/semantics/closedAccess,1,"MAZZANTI, ANNA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/243592,ita,2005,-,nazionale,Clup Ed.,-,Milano,-,-,-,Gesticolando. cenni sulla diversità,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"CRIPPA, DAVIDE;DI PRETE, BARBARA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/251057,ita,2005,-,nazionale,Franco Angeli,-,Milano,-,-,-,Packaging design,-,06.1 Curatela,none,1,"BUCCHETTI, VALERIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/261995,eng,2005,-,internazionale,Edizioni Poli.Design,-,Milano,-,-,-,"Designing Designers: Designing Hospitality- Visions, scenarios, systems, services, spaces and products",Hospitality design; Ospitalità,06.1 Curatela,none,2,"COLLINA, LUISA MARIA VIRGINIA;SCULLICA, FRANCESCO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/266768,-,2005,-,nazionale,Edizioni Poli.Design,-,Milano,-,-,-,ManteroMood. Moviedesign for the silk concepì store La Tessitura_Como,-,06.1 Curatela,none,2,"GALBIATI, MARIA LUISA;PIREDDA, FRANCESCA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/268961,eng,2005,-,internazionale,Van Gorcum,NLD,Assen,-,-,-,"Methodology for Product Service System. How to develop clean, clever and competitive strategies in companies",-,06.1 Curatela,none,3,"C. Van Halen;VEZZOLI, CARLO ARNALDO;R. Wimmer"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/274162,-,2005,-,nazionale,Edizioni Poli.Design,-,Milano,-,-,-,Performance. Designing for a cultural challange,-,06.1 Curatela,none,3,"CRESPI, LUCIANO;PICCINNO, GIOVANNA;REBAGLIO, AGNESE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532294,-,2005,-,nazionale,LibreriaClup,ITA,MILANO,-,-,-,Costruire imbarcazioni da diporto. Esperienze in cantiere,-,06.1 Curatela,none,3,"PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA;MAGGIULLI F."
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532316,ita,2005,-,nazionale,CEA,ITA,MILANO,-,-,-,Materiali e Design,-,06.1 Curatela,none,4,"ROGNOLI, VALENTINA;PEDEFERRI, MARIAPIA;DEL CURTO, BARBARA;LEVI, MARINELLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532352,ita,2005,-,internazionale,POLI.design,ITA,MILANO,-,-,-,"Design, imprese, distretti. Un approccio all'innovazione",-,06.1 Curatela,none,3,"ARQUILLA, VENANZIO;VIGNATI, ARIANNA;SIMONELLI, GIULIANO"
