dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.country,dc.publisher.place,dc.relation.ispartofbook,item.journal.title,dc.relation.medium,dc.title,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532388,-,2005,-,nazionale,Moretti Honegger,ITA,BERGAMO,-,-,-,La semiotica e le arti utili in undici dialoghi,-,06.1 Curatela,none,1,"ZINGALE, SALVATORE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532437,ita,2005,-,nazionale,Aracne Editrice,ITA,ROMA,-,-,-,Il progetto in Biodesign. La costruzione di un percorso,-,06.1 Curatela,none,2,"CANINA, MARIA RITA;VICENTINI, FEDERICO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532543,-,2005,-,nazionale,-,-,-,-,-,-,"KIWI, Knowledge Interaction Web Instruction",-,06.1 Curatela,none,1,"COLORNI VITALE, ALBERTO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532575,ita,2005,-,nazionale,Clup,ITA,MILANO,-,-,-,Costruire imbarcazioni da diporto - Esperienze in cantiere,-,06.1 Curatela,none,3,"PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA;F. MAGGIULLI"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532707,ita,2005,-,nazionale,Silvia Editrice,-,MILANO,-,-,-,La coda della Q. 50 marchi per la Fondazione Quarta,-,06.1 Curatela,none,2,"BUCCHETTI, VALERIA LUISA;MINOGGIO, MAURIZIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/553865,-,2005,-,nazionale,Aracne,-,Roma,-,-,-,"Hard Design. Il Product Design oggi, tra innovazione e creatività",-,06.1 Curatela,none,1,"INGARAMO, MATTEO ORESTE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/662196,eng;ita,2005,-,-,Polidesign,-,Milano,-,-,-,ManteroMood. Movie design for the silk concept La Tessitura_Como,movie design; comunicazione d'impresa; Mantero; videoinstallazioni; strategie di comunicazione,06.1 Curatela,none,2,"GALBIATI, MARIA LUISA;PIREDDA, FRANCESCA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/691044,ita,2005,-,-,Electa,-,Milano,-,-,-,Le case nella Triennale. Dal Parco al QT8,-,06.1 Curatela,none,2,"CIAGA', GRAZIELLA LEYLA;TONON, GRAZIELLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/691292,ita,2005,-,-,Moretti&Vitali,ITA,Bergamo,-,-,-,La semiotica e le arti utili in undici dialoghi,Semitica; Arti; Design; Oggetti; Architettura; Spazi; Città,06.1 Curatela,info:eu-repo/semantics/closedAccess,1,"ZINGALE, SALVATORE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/692782,ita,2005,Nessuno,-,"CASVA, Centro di Alti Studi sulle Arti Visive, Comune di Milano",-,Milano,-,-,-,Luciano Baldessari e Milano. Progetti e realizzazioni in Lombardia,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,1,"CIAGA', GRAZIELLA LEYLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/694273,ita,2005,-,-,CEA,-,-,-,-,-,Materiali e Design,-,06.1 Curatela,none,4,"LEVI, MARINELLA;PEDEFERRI, MARIAPIA;DEL CURTO, BARBARA;ROGNOLI, VALENTINA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/242885,-,2006,-,internazionale,Aracne Editrice,-,Roma,-,-,-,La luce come strumento di progetto,-,06.1 Curatela,none,2,"ROSSI, MAURIZIO;SEASSARO, ALBERTO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/269198,-,2006,-,nazionale,Politecnico di Milano,-,Milano,-,-,-,"KIWI, Knowledge Interaction Web Instruction",-,06.1 Curatela,none,1,"COLORNI VITALE, ALBERTO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532241,ita,2006,-,-,FrancoAngeli,ITA,MILANO,-,-,-,Comunicare le identità. Percorsi della soggettività nell'età contemporanea,-,06.1 Curatela,none,2,"L. BOVONE;VOLONTE', PAOLO GAETANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532273,eng,2006,-,internazionale,Libreria Clup,ITA,MILANO,-,-,-,Books. The future of reading?,-,06.1 Curatela,none,3,"CRESPI, LUCIANO;PICCINNO, GIOVANNA;REBAGLIO, AGNESE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532312,ita,2006,-,-,Aracne,-,Roma,-,-,-,ergonomia e aspetti psicosociali - nuove competenze nella prevenzione dei rischi lavorativi,-,06.1 Curatela,none,1,"FIGIANI, MAURIZIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532323,ita,2006,-,-,Clean,ITA,NAPOLI,-,-,-,"Design, territorio e patrimonio culturale",design per il territorio; design per i beni culturali; design per lo sviluppo locale,06.1 Curatela,none,4,"V. CRISTALLO;E. GUIDA;A. MORONE;PARENTE, MARINA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532324,ita,2006,-,nazionale,Poli.design,ITA,-,-,-,-,Il design per la valorizzazione dei beni culturali. Le premesse fondative della ricerca d.Cult,design per i beni culturali,06.1 Curatela,info:eu-repo/semantics/closedAccess,3,"MAFFEI, STEFANO;PARENTE, MARINA;VILLARI, BEATRICE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532349,ita,2006,-,internazionale,POLI.design,ITA,MILANO,-,-,-,Design e Imprese Artigiane. Un modello per l'innovazione.,-,06.1 Curatela,none,1,"ARQUILLA, VENANZIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532418,ita,2006,-,nazionale,Motta,ITA,MILANO,-,-,-,Living room design,-,06.1 Curatela,none,3,"MAFFEI, STEFANO;PARINI B;ARQUILLA, VENANZIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532513,ita,2006,-,nazionale,Polidesign,ITA,MILANO,-,-,-,Moda e Design. Cross fertilization per l'innovazione,-,06.1 Curatela,none,2,"BERTOLA, PAOLA;CONTI, GIOVANNI MARIA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/552831,-,2006,-,nazionale,Franco Angeli,-,Milano,-,-,-,Design degli interni,-,06.1 Curatela,none,1,"GUERRINI, LUCA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/552839,-,2006,-,internazionale,Clup,-,Milano,-,-,-,Books. The future of reading?,-,06.1 Curatela,none,3,"CRESPI, LUCIANO;PICCINNO, GIOVANNA;REBAGLIO, AGNESE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/552855,-,2006,-,nazionale,Moretti Honegger,-,Bergamo,-,-,-,L’inventiva. Psòmega vent’anni dopo,-,06.1 Curatela,none,2,"ZINGALE, SALVATORE;BONFANTINI M. A."
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/552861,-,2006,-,internazionale,Actes Sud,-,Arles Cedex,-,-,-,Salons,-,06.1 Curatela,none,3,"ARQUILLA, VENANZIO;MAFFEI, STEFANO;B. Parini"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/552867,-,2006,-,nazionale,MusArc,-,Ferrara,-,-,-,Premio Biagio Rossetti 2005,-,06.1 Curatela,none,2,"GUERRINI, LUCA;VENTURA, NICOLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/552868,-,2006,-,nazionale,Virus Edizioni,-,Milano,-,-,-,Advanced Living Scenarios. Contemporary Trends in European Housing,-,06.1 Curatela,none,3,"BOSONI, GIAMPIERO;MANFREDINI, MANFREDO;PIARDI, SILVIA ELVIRA MARIA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/552960,-,2006,-,nazionale,Federico Motta Editore,-,Milano,-,-,-,Salotti d'autore,-,06.1 Curatela,none,3,"ARQUILLA, VENANZIO;MAFFEI, STEFANO;B. Parini"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/640323,ita,2006,-,-,Edizioni POLI.design,ITA,Milano,-,-,-,"Designing Designers: Design Evolution by east and west. New ambients, new products, new designers",italian design; design; chinese design; design professionals scenario; east-west design relations.,06.1 Curatela,none,2,"COLLINA, LUISA MARIA VIRGINIA;SCULLICA, FRANCESCO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/642126,ita,2006,-,-,Silvana,ITA,Cinisello Balsamo,-,-,-,Arte in Maremma nella prima metà del Novecento,storicismo; verismo; realismo storico; realismo; sindacali fasciste; scultura simbolista; scultura funebre; macchiaioli; arte sociale; fotografia; archivi fotografici; arte e architettura fra le due guerre; arte decorativa; riviste,06.1 Curatela,none,3,"E. Crispolti;MAZZANTI, ANNA;L. Quattrocchi"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/881657,ita,2006,Nessuno,-,"CASVA - Centro di Alti Studi sulle Arti Visive, Comune di Milano",ITA,Milano,-,-,-,L'archivio dell'architetto Mario Terzaghi presso il Casva,Augusto Magaghi; Mario Terzaghi; archivi del design; archivi di architettura,06.1 Curatela,info:eu-repo/semantics/closedAccess,1,"FERABOLI, MARIA TERESA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/989810,ita,2006,-,-,Clup,-,-,-,-,-,Corpi arredativi,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,4,"Guerriero, Alessandro;Bobbioni, Mariapia;CRIPPA, DAVIDE;DI PRETE, BARBARA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/246819,ita,2007,-,nazionale,Libreria Clup,ITA,Milano,-,-,-,"Design per la sostenibilità. Strumenti e strategie per la decade ""Educazione per lo sviluppo sostenibile"" Nazioni Unite (2005-2014)",-,06.1 Curatela,none,2,"P. Tamborrini;VEZZOLI, CARLO ARNALDO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/250929,-,2007,-,nazionale,Arti Grafiche Meroni,-,Lissone,-,-,-,Playing Design,-,06.1 Curatela,none,2,"L. Cavadini;DELL'ACQUA BELLAVITIS, ARTURO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/251168,ita,2007,-,nazionale,Dativo Editore,-,Milano,-,-,-,Packaging controverso,-,06.1 Curatela,none,1,"BUCCHETTI, VALERIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/257240,eng,2007,-,internazionale,Poli.Design,ITA,Milano,"Designing Designers: unbranded design for new youser expectations, in east and west",-,-,Designing Designers: Unbranded design for new user expectations,Unbranded design,06.1 Curatela,none,2,"COLLINA, LUISA MARIA VIRGINIA;SCULLICA, FRANCESCO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/258844,-,2007,-,nazionale,Clup,-,Milano,-,-,-,Movie Design for Experience Project. Visual scenarios for Illy concept store,-,06.1 Curatela,none,2,"GALBIATI, MARIA LUISA;GALLI, FRANCESCO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/269762,ita,2007,Comitato scientifico,nazionale,Gangemi,ITA,Roma,-,-,STAMPA,"Sole vento acqua vegetazione e tecnologie avanzate: matrici di un nuovo approccio progettuale al territorio, architettura e design strategico.",-,06.1 Curatela,info:eu-repo/semantics/closedAccess,3,"BLASI, CESARE;NEBULONI, ATTILIO;PADOVANO, GABRIELLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/269994,ita,2007,-,nazionale,Poli.Design,-,Milano,-,-,-,La Moda e il Design. Il trasferimento di conoscenza a servizio dell'innovazione,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"BERTOLA, PAOLA;CONTI, GIOVANNI MARIA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/274057,ita,2007,-,nazionale,Poli.Design,-,Milano,-,-,-,Culture visive,-,06.1 Curatela,none,1,"BUCCHETTI, VALERIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/274058,ita,2007,-,nazionale,Poli.Design,-,Milano,-,-,-,Packaging: tra vista e tatto,-,06.1 Curatela,none,1,"BUCCHETTI, VALERIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532286,eng,2007,-,internazionale,Edizioni Polidesign,ITA,MILANO,-,-,-,Creative Communities. People inventing sustainable ways of living.,"Sustainability - Design Research
Social Innovation
Service Design",06.1 Curatela,info:eu-repo/semantics/closedAccess,1,"MERONI, ANNA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532713,ita;eng,2007,-,-,Gangemi,ITA,ROMA,-,-,-,"Abitare la complessità: Branson Coates, Coop Himmelblau, Daniel Libeskind, M&M, Mecanoo, Naga Studio, NL Architects, ODBC, R&Sie, RUR, SMAQ architects, Tomorrow, UNStudio. Serie: Complessità e Sostenibilità: il territorio e l'architettura - Rivista bimestrale digitale di pianificazione e progettazione, n° 01",-,06.1 Curatela,none,5,"G. PADOVANO;C. BLASI;NEBULONI, ATTILIO;I. ANASTASIO;V. ARRIGONI"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532714,ita;eng,2007,-,-,Gangemi,ITA,ROMA,-,-,-,"Architetture sostenibili: Behnisch & Partner, Mario Cucinella, FOA, Zaha Hadid, LAB Architecture, Manfredi Nicoletti, ODBC, Petzinka-Pink, R&Sie, Samyn and Partners, Synthesis & Research. Serie: Complessità e Sostenibilità: il territorio e l'architettura - Rivista bimestrale digitale di pianificazione e progettazione, n° 02",-,06.1 Curatela,none,5,"G. PADOVANO;C. BLASI;NEBULONI, ATTILIO;I. ANASTASIO;V. ARRIGONI"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532715,eng;ita,2007,-,-,Gangemi,ITA,ROMA,-,-,-,"Europa, Oceania e Far-East: strategie di pianificazione per i territori. Testi di G. Padovano, J. Peyrony, L. Porsche, K. Serranos, E. Gianniris, M. Zifou, M. Carta, D. Ronsivalle, F. Vescovi, M. Vliet, J. Goedman, C. Anderton, D. Ciesielska, M. Lasocki, D. Blaganje, M. Benabent, P. McFarland, M. Gunder, R. Lizhi, X. Fei, Y. Jing, K. Moriyasu, Y. Pandya, R. Nair, L. Meng, K. Ong, K. Peng. Serie: Complessità e Sostenibilità: il territorio e l'architettura - Rivista bimestrale digitale di pianificazione e progettazione, n° 03-04",-,06.1 Curatela,none,5,"G. PADOVANO;C. BLASI;NEBULONI, ATTILIO;I. ANASTASIO;V. ARRIGONI"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/548046,ita,2007,-,-,Edizioni POLI.design,-,-,-,-,-,Ricerca e design per il prodotto moda,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"BERTOLA, PAOLA;COLOMBI, CHIARA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/551602,-,2007,-,internazionale,Electa,-,Milano,-,-,-,Leonardo. Dagli studi di proporzioni al Trattato della Pittura,-,06.1 Curatela,none,2,"M. Fiorio;MARANI, PIETRO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/551625,ita;spa;eng,2007,-,-,Poli.Design,-,Milano,-,-,-,MuVi. Video and moving image on synesthesia and visual music,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"M. De Cordoba;RICCO', DINA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/551626,ita,2007,-,nazionale,Poli.Design,-,Milano,-,-,-,Fashion Plus. Un'azione di valorizzazione guidata dal design per le PMI del territorio regionale e miliano,-,06.1 Curatela,none,2,"BERTOLA, PAOLA;MAFFEI, STEFANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/551633,-,2007,-,internazionale,Libreria Clup,ITA,MILANO,-,-,-,The new generation. The design role in the new generation world,-,06.1 Curatela,none,3,"CRESPI, LUCIANO;PICCINNO, GIOVANNA;REBAGLIO A."
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/561919,eng;ita,2007,-,-,Libreria Clup,-,Milano,-,-,-,The new generation: the design role in the new generation world,-,06.1 Curatela,none,3,"CRESPI, LUCIANO;PICCINNO, GIOVANNA;REBAGLIO, AGNESE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/692927,ita,2007,-,-,SKIRA,-,-,-,-,-,In pubblico. Azioni e idee degli anni settanta in Italia,-,06.1 Curatela,none,3,"M. Fochessati;PIAZZA, MARIO;S. Solimano"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/693436,eng;ita,2007,-,-,Edizioni PoliDesign,-,-,-,-,-,That’s Poli. Polimi at That’s Design,-,06.1 Curatela,none,2,"PIAZZA, MARIO;M. Pelizzari"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/881651,ita;eng,2007,Nessuno,-,Electa Triennale,ITA,Milano,-,-,-,Renzo Piano. Le città visibili,Renzo Piano; Architettura contemporanea,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"IRACE, FULVIO;FERABOLI, MARIA TERESA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/989815,eng;ita,2007,-,-,Corraini,-,mantova,-,-,-,Investigations into Decor and Decus / Indagini tra Decor e Decus,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"CRIPPA, DAVIDE;DI PRETE, BARBARA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532242,ita;eng,2008,-,nazionale,Bozen-Bolzano University Press,ITA,BOLZANO,-,-,-,La creatività nelle professioni,-,06.1 Curatela,none,2,"VOLONTE', PAOLO GAETANO;PEDRONI, MARCO LUCA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532243,ita,2008,-,nazionale,FrancoAngeli,-,MILANO,-,-,-,La creatività diffusa. Culture e mestieri della moda oggi,-,06.1 Curatela,none,1,"VOLONTE', PAOLO GAETANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532244,ita;ger,2008,-,nazionale,Bompiani,-,MILANO,-,-,-,Max Weber. La scienza come professione,-,06.1 Curatela,none,1,"VOLONTE', PAOLO GAETANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532416,eng;ita,2008,-,internazionale,Poli.design,ITA,MILANO,-,-,-,"Design, Research, Maps. Prospettive della ricerca universitaria in design in Italia. 2003-2007",-,06.1 Curatela,none,2,"MAFFEI, STEFANO;BERTOLA, PAOLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532726,ita,2008,-,-,McGraw Hill,ITA,-,-,-,-,L'impresa di successo. Il Design e la competitività,-,06.1 Curatela,none,1,"RAMPINO, LUCIA ROSA ELENA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532782,eng,2008,-,internazionale,Greenleaf Publishing,GBR,SHEFFIELD,-,-,-,System Innovation for Sustainability 1. Perspectives on Radical Changes to Sustainable Consumption and Production,-,06.1 Curatela,none,5,"VEZZOLI, CARLO ARNALDO;A. TUKKER;M. CHARTER;E. STØ;M. M. ANDERSEN"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532787,ita,2008,-,-,FrancoAngeli,ITA,MILANO,-,-,-,Argomenti di ergonomia. Un glossario. Vol. I,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"PIZZOCARO, SILVIA LUISA;FIGIANI, MAURIZIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/545230,chi;eng,2008,-,-,China Water Power Press,CHN,Beijing,-,-,-,Housing in Europe and in China,Housing; interior design; new scenarios,06.1 Curatela,none,3,"PIARDI, SILVIA ELVIRA MARIA;MANFREDINI, MANFREDO;BOSONI, GIAMPIERO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/547653,eng,2008,-,-,Franco Angeli Editore,ITA,Milano,-,-,-,"Place and Themes of Interiors, Contemporary Research Studies",-,06.1 Curatela,none,4,"BASSO PERESSUT, GIAN LUCA;FORINO, IMMACOLATA CONCEZIONE;POSTIGLIONE, GENNARO;SCULLICA, FRANCESCO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/547668,eng;ita,2008,-,-,Maggioli Editore,ITA,Sant’Arcangelo di Romagna (Rimini),-,-,-,The Hospitable city,-,06.1 Curatela,none,2,"FASSI, DAVIDE;SCULLICA, FRANCESCO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/549670,ita,2008,-,-,Silvana Editoriale,ITA,Cinisello Balsamo (MI),-,-,-,Bruno Munari,-,06.1 Curatela,none,2,"FINESSI, GIUSEPPE;M. Meneguzzo"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/549834,ita,2008,-,-,Maggioli Editore,ITA,Rimini,-,-,-,Progetti per lo sviluppo del territorio. Marketing strategico dell'Oltrepò Mantovano,Marketing territoriale; valorizzazione beni culturali; distretti culturali; brand territoriale,06.1 Curatela,info:eu-repo/semantics/closedAccess,3,"CASONI, GIORGIO;FANZINI, DANIELE;TROCCHIANESI, RAFFAELLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/550371,ita,2008,-,-,POLIdesign,-,-,-,-,-,Brand reset. Il caso Framesi,-,06.1 Curatela,none,3,"COLLINA, LUISA MARIA VIRGINIA;MANCIARACINA, ANDREA GIUSEPPE;TOLINO, UMBERTO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/881646,ita,2008,Nessuno,-,ELECTA MONDADORI,ITA,Milano,-,-,-,Casa per tutti. Abitare la città globale,case  prefabbricate; prefabbricazione leggera,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"IRACE, FULVIO;FERABOLI, MARIA TERESA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/504231,ita,2009,-,-,Franco Angeli,ITA,MILANO,-,-,-,HELL PARADISE SHOPPING,shopping; consumi.,06.1 Curatela,none,1,"CAUTELA, CABIRIO"
