dc.type.full;dc.identifier.uri;dc.language.iso;dc.date.issued;dc.type.referee;dc.type.circulation;dc.publisher.name;dc.publisher.place;dc.publisher.country;dc.relation.ispartofbook;item.journal.title;dc.relation.medium;dc.relation.conferenceplace;dc.relation.conferencename;;dc.subject.keywords;item.collection;item.openaireRights;dc.description.numberofauthors;dc.authority.people;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/881676;ita;2000;Nessuno;nazionale;Grafo;Brescia;ITA;Arte e architettura nello spazio di Lombardia tra le due guerre;-0;-0;Brescia;Arte e architettura nello spazio di Lombardia tra le due guerre;;Cremona; storia dell'architettura;04.1 Contributo in Atti di convegno;none;1;FERABOLI, MARIA TERESA;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/243026;-0;2001;-0;internazionale;-0;-0;-0;-0;-0;-0;Kaunas (Lituania), 5-6 april 2001;Mechanika 2001 : Proceedings of the International Conference;;-0;04.1 Contributo in Atti di convegno;none;5;"P. Allara;G. Campa;CANINA, MARIA RITA;S. Della;ROVETTA, ALBERTO";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/245203;-0;2001;-0;internazionale;-0;-0;-0;-0;-0;-0;Seul;9th World Conference on Transport Research;;-0;04.1 Contributo in Atti di convegno;none;1;PONTI, MARCO GUIDO;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/245750;eng;2001;-0;internazionale;-0;-0;-0;-0;-0;-0;Torino;La scienza e la tecnologia sulla Stazione Spaziale Internazionale (ISS);;-0;04.1 Contributo in Atti di convegno;none;1;DOMINONI, ANNALISA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/261093;-0;2001;-0;internazionale;-0;-0;-0;-0;-0;-0;Wellington, New Zealand;World Building Congress, Wellington, New Zealand;;-0;04.1 Contributo in Atti di convegno;none;3;"OBERTI, ILARIA;PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/262620;eng;2001;-0;internazionale;-0;-0;-0;-0;-0;-0;Torino;La scienza e la tecnologia sulla Stazione Spaziale Internazionale (ISS);;-0;04.1 Contributo in Atti di convegno;none;1;DOMINONI, ANNALISA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/267912;eng;2001;-0;internazionale;-0;-0;-0;-0;-0;-0;Cambridge;120 Round Table European Conference of Ministers of Transport CEMT/OECD;;-0;04.1 Contributo in Atti di convegno;none;1;PONTI, MARCO GUIDO;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/272263;-0;2001;-0;internazionale;-0;-0;-0;-0;-0;-0;Bruxelles;Trans Talk Workshop, EEC;;-0;04.1 Contributo in Atti di convegno;none;1;PONTI, MARCO GUIDO;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/272264;-0;2001;-0;nazionale;-0;-0;-0;-0;-0;-0;Ancona;Politiche economiche per il sistema dei trasporti e della logistica;;-0;04.1 Contributo in Atti di convegno;none;2;"MALGIERI, PATRIZIA;PONTI, MARCO GUIDO";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/274019;eng;2001;-0;internazionale;-0;Londra;-0;-0;-0;-0;-0;Affective Human Factors Design Conference;;-0;04.1 Contributo in Atti di convegno;none;1;BERTOLA, PAOLA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/502852;-0;2001;-0;internazionale;-0;-0;-0;ICAR 2001, International Conference on Advanced Robotics;-0;-0;-0;ICAR 2001, International Conference on Advanced Robotics;;-0;04.1 Contributo in Atti di convegno;none;5;"ROVETTA, ALBERTO;CANINA, MARIA RITA;PAOLO ALLARA;GIOVANNI CAMPA;SERGIO DELLA SANTINA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/509650;eng;2001;-0;internazionale;Liguori Editore;NAPOLI;ITA;MSSU, Microgravity and Space Station Utilization;-0;-0;-0;-0;;-0;04.1 Contributo in Atti di convegno;none;1;DOMINONI, ANNALISA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/535926;ita;2001;-0;internazionale;Giannini;NAPOLI;ITA;Riciclare. Tecniche, esperienze e prospettive nell’architettura e nel design;-0;-0;Napoli;Convegno Internazionale Progetto Abitare Verde. Riciclare. Tecniche, esperienze e prospettive nell’architettura e nel design;;-0;04.1 Contributo in Atti di convegno;info:eu-repo/semantics/closedAccess;1;PARENTE, MARINA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/538953;eng;2001;-0;internazionale;-0;-0;-0;-0;-0;-0;Budapest;ICAR 2001, 10th International Conference on Advanced Robotics;;-0;04.1 Contributo in Atti di convegno;none;5;"ROVETTA, ALBERTO;CANINA, MARIA RITA;P. ALLARA;G. CAMPA;S. DELLA SANTINA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/538954;eng;2001;-0;internazionale;-0;-0;-0;-0;-0;-0;Rimini, Italy;XXXII Congress of the Italian Neurological Society;;-0;04.1 Contributo in Atti di convegno;none;3;"ROVETTA, ALBERTO;CANINA, MARIA RITA;R. PEGORARO";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/542474;-0;2001;-0;nazionale;-0;-0;-0;XI Congresso SITE Società Italiana di Ecologia – Sessione contabilità ambientale, Sabaudia;-0;-0;Sabaudia;XI Congresso SITE Società Italiana di Ecologia - Sessione contabilità ambientale;;-0;04.1 Contributo in Atti di convegno;none;5;"DE LEO G.;CAPRILE, ELENA;GOBETTI M.;MAJA, ROBERTO;SACCHI M.";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/542819;eng;2001;-0;internazionale;-0;-0;-0;Fifth immersive projection technology workshop - Seventh Eurographics Workshop on Virtual Environments.;-0;-0;Stuggart;Fifth immersive projection technology workshop - Seventh Eurographics Workshop on Virtual Environmen;;-0;04.1 Contributo in Atti di convegno;info:eu-repo/semantics/closedAccess;5;"CALABI, DANIELA ANNA;CLAUDIO R. BOER;STEFANO MOTTURA;MARCO SACCO;GIAN PAOLO VIGANO'";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/548858;-0;2001;-0;internazionale;-0;-0;-0;-0;-0;-0;Toulouse, France;9th  InTERNATIONAL SYMPOSIUM on Intelligent Robotic Systems, SIRS'2001;;-0;04.1 Contributo in Atti di convegno;none;4;"ROVETTA, ALBERTO;CANINA, MARIA RITA;G. CAMPA;S. DELLA SANTINA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/558019;-0;2001;-0;internazionale;-0;-0;-0;-0;-0;-0;Naples, sept. 15-18;Clima 2000 World Congress, Naples;;-0;04.1 Contributo in Atti di convegno;none;4;"BAGLIONI, ADRIANA;OBERTI, ILARIA;RATTI, ANDREA;PIARDI, SILVIA ELVIRA MARIA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/561304;-0;2001;-0;-0;-0;-0;-0;-0;-0;-0;Rimini;Conferenza Internazionale sul Turismo sostenibile;;-0;04.1 Contributo in Atti di convegno;none;3;"OBERTI, ILARIA;PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/685049;eng;2001;Sì, ma tipo non specificato;internazionale;Springer LNCS 1892;-0;DNK;Proceedings of Adaptive Hypermedia and Adaptive web-based System;-0;-0;Trento;Adaptive Hypermedia and Adaptive web-based System;;-0;04.1 Contributo in Atti di convegno;none;2;"C. Chesi;RIZZO, FRANCESCA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/687798;eng;2001;Sì, ma tipo non specificato;internazionale;International HCI;New Orleans;USA;Proceedings of 9th International Conference on Human Computer Interaction;-0;-0;New Orleans;9th International Conference on Human Computer Interaction;;-0;04.1 Contributo in Atti di convegno;none;1;RIZZO, FRANCESCA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/691085;ita;2001;-0;nazionale;-0;-0;-0;-0;PIANURA;-0;Pavia;Congresso nazionale della Societas Herpetologica Italica;;-0;04.1 Contributo in Atti di convegno;info:eu-repo/semantics/closedAccess;14;"E. Balletto;B. Barone;CECONELLO, MAURO ATTILIO;A. D’andrea;L. Dell’Anna;S. Di Marco;A. Dominici;C. Giacoma;F. Mari;F. Miglietta;G. Nicolini;S. Piovano;L. Pozzi;M. Solinas";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/240871;ita;2002;-0;nazionale;-0;-0;-0;-0;-0;-0;Forlì;"Atti del Convegno ""La liberalizzazione dei servizi di handling aeroportuale""";;-0;04.1 Contributo in Atti di convegno;none;1;PONTI, MARCO GUIDO;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/242655;eng;2002;-0;internazionale;American Institute of Aeronautics and Astronautics;Reston, Virginia, USA;USA;Proceedings of AIAA 2002 Conference;-0;-0;Houston, Texas, USA;1st Space Architecture Symposium (SAS 2002);;design education; design practice; human factors; space architecture; space design; strategic design;04.1 Contributo in Atti di convegno;info:eu-repo/semantics/closedAccess;1;DOMINONI, ANNALISA;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/242754;-0;2002;-0;internazionale;-0;-0;-0;-0;-0;-0;Bruxelles;The new technologies to protect life and occupation;;-0;04.1 Contributo in Atti di convegno;none;3;"FIGIANI, MAURIZIO;MACCHIA, CESIRA ASSUNTA;RAVETTA, FRANCESCA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/242773;-0;2002;-0;internazionale;Edizioni Poli.Design;Milano;-0;DesignNet. Knowledge e Information Management per il design. Atti del seminario internazionale.;-0;-0;Milano;DesignNet. Knowledge e Information Management per il Design;;-0;04.1 Contributo in Atti di convegno;none;1;ARQUILLA, VENANZIO;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/245478;eng;2002;Comitato scientifico;internazionale;-0;-0;KOR;Proceedings Eighth International Conference on Virtual Systems and Multimedia VSMM 2002 Creative Digital Culture;-0;-0;Gyeongju, Korea;Creative Digital Culture. The Eighth International Conference on Virtual Systems and MultiMedia;;design knowledge, visual interface,;04.1 Contributo in Atti di convegno;info:eu-repo/semantics/openAccess;4;"BOGHETICH, GIANGIUSEPPE MIDA;CIUCCARELLI, PAOLO;INNOCENTI, PERLA;VIDARI, FEDERICO";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/245732;eng;2002;-0;internazionale;American Institute of Aeronautics and Astronautics;Reston, Virginia, USA;USA;Proceedings of AIAA 2002 Conference;-0;-0;Houston, Texas, USA;1st Space Architecture Symposium (SAS);;design; comfort; human factors; human science; microgravity; space design; space research programs;04.1 Contributo in Atti di convegno;info:eu-repo/semantics/closedAccess;1;DOMINONI, ANNALISA;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/254988;ita;2002;-0;internazionale;Edizioni Poli.Design;Milano;-0;-0;-0;-0;Milano;DesignNet - Knowledge e Informatio Management per il Design;;-0;04.1 Contributo in Atti di convegno;none;1;SIMONELLI, GIULIANO;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/258466;eng;2002;-0;internazionale;DMI (Design Management Institute);Boston;-0;-0;-0;-0;Boston, Massachussetts, USA;11th International Forum on Design Management Research & Education;;-0;04.1 Contributo in Atti di convegno;none;1;INGARAMO, MATTEO ORESTE;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/259159;eng;2002;-0;internazionale;-0;-0;-0;-0;-0;-0;Bruxelles (belgio);The new technologies to protect life and occupation;;-0;04.1 Contributo in Atti di convegno;none;3;"FIGIANI, MAURIZIO;MACCHIA, CESIRA ASSUNTA;RAVETTA, FRANCESCA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/264804;-0;2002;-0;nazionale;Chiriotti Editore;Pinerolo;-0;-0;-0;-0;Cernobbio;Ricerche e innovazioni nell'industria alimentare. 5° Congresso Italiano di Scienza e Tecnologia degli Alimenti;;-0;04.1 Contributo in Atti di convegno;none;1;MERONI, ANNA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/264813;-0;2002;-0;internazionale;-0;-0;-0;-0;-0;-0;Milano;Primo Convegno Italiano Eurographics;;-0;04.1 Contributo in Atti di convegno;none;1;CECONELLO, MAURO ATTILIO;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/268718;ita;2002;-0;nazionale;-0;-0;-0;-0;-0;-0;Milano;La modernizzazione del Paese: infrastrutture ed ambiente;;-0;04.1 Contributo in Atti di convegno;none;1;PONTI, MARCO GUIDO;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/270550;ita;2002;-0;nazionale;-0;-0;-0;-0;-0;-0;Milano;L’ergonomia nella normativa;;-0;04.1 Contributo in Atti di convegno;none;1;COSTA, FIAMMETTA CARLA ENRICA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/274021;eng;2002;-0;internazionale;-0;-0;-0;-0;-0;-0;Bruxelles;The new technologies to protect life and occupation;;-0;04.1 Contributo in Atti di convegno;none;3;"FIGIANI, MAURIZIO;MACCHIA, CESIRA ASSUNTA;RAVETTA, FRANCESCA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/535552;ita;2002;-0;nazionale;-0;-0;-0;VGR 2002 “Valutazione e gestione del rischio negli Insediamenti Civili e Industriali;-0;-0;Pisa;Convegno nazionale VGR 2002 “Valutazione e gestione del rischio negli Insediamenti Civili  e Industriali;;-0;04.1 Contributo in Atti di convegno;none;4;"STUDER, LUCA PASINO;MARCHIONNI, GIOVANNA;MAJA, ROBERTO;VESCIA G.";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/538491;eng;2002;Sì, ma tipo non specificato;internazionale;-0;-0;-0;-0;-0;-0;Firenze;DC-2002: Metadata for e-Communities: Supporting Diversity and Convergence;;design knowledge; metadata; interface design; dublin core;04.1 Contributo in Atti di convegno;info:eu-repo/semantics/closedAccess;4;"BOGHETICH, GIANGIUSEPPE MIDA;CIUCCARELLI, PAOLO;INNOCENTI, PERLA;VIDARI, FEDERICO";;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/539754;eng;2002;Sì, ma tipo non specificato;internazionale;-0;-0;-0;Design makes the difference;-0;-0;-0;-0;;-0;04.1 Contributo in Atti di convegno;none;1;BERTOLA, PAOLA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/539794;eng;2002;Sì, ma tipo non specificato;internazionale;Harward Business Press;Boston, USA;USA;The 11th International Forum on Design Management Research and Education Strat., Resources & Tools;-0;-0;-0;-0;;-0;04.1 Contributo in Atti di convegno;none;1;BERTOLA, PAOLA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/541017;ita;2002;-0;nazionale;-0;-0;-0;-0;-0;-0;-0;-0;;-0;04.1 Contributo in Atti di convegno;none;1;MANGIAROTTI, RAFFAELLA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/542462;-0;2002;-0;-0;-0;-0;-0;XXX edizione delle giornate di Studio ASECAP;-0;-0;Oslo;XXX Giornate di Studio ASECAP;;-0;04.1 Contributo in Atti di convegno;none;4;"ARDITI R.;CHARBONNIER P.;MAJA, ROBERTO;STUDER, LUCA PASINO";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.2 Abstract in Atti di convegno;http://hdl.handle.net/11311/689394;eng;2002;Sì, ma tipo non specificato;-0;-0;Ginevra;-0;International Multisensory Research Forum, 3rd Annual Meeting;-0;STAMPA;Ginevra;-0;;-0;04.2 Abstract in Atti di convegno;none;2;"RICCO', DINA;S. Guerini";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/242604;-0;2003;-0;internazionale;-0;Lisbona (Portogallo);-0;-0;-0;-0;Lisbona;User's Conference;;-0;04.1 Contributo in Atti di convegno;none;1;BIAMONTI, ALESSANDRO;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/242605;-0;2003;-0;internazionale;-0;Barcelona (Spagna);-0;-0;-0;-0;Barcelona;5td EAD Conference;;-0;04.1 Contributo in Atti di convegno;none;1;BIAMONTI, ALESSANDRO;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/244761;eng;2003;-0;internazionale;CNR;Roma;-0;-0;-0;-0;Roma;HAAMAHA Conference Proceedings;;-0;04.1 Contributo in Atti di convegno;none;2;"COSTA, FIAMMETTA CARLA ENRICA;R. Tartaglia";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/245697;eng;2003;Sì, ma tipo non specificato;internazionale;University of Tsukuba-Chiba University;Tsukuba, Japan;-0;-0;-0;-0;Tsukuba, Japan;Third Conference Doctoral Education in Design. 3RD DED Tsukuba;;Doctoral education in design; Doctoral curricula in design;04.1 Contributo in Atti di convegno;info:eu-repo/semantics/closedAccess;1;PIZZOCARO, SILVIA LUISA;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/247008;ita;2003;-0;nazionale;Politecnico di Milano;Milano;-0;-0;-0;-0;Milano (Italia);Atti del workshop su danneggiamento, conservazione e manutenzione di strutture murarie e lignee - diagnosi e modellazione con riferimento alle tipologie costruttive ed edilizie;;-0;04.1 Contributo in Atti di convegno;none;4;"BINDA, LUIGIA;ANZANI, ANNA;J. Pina Henriques;TONGINI FOLLI, ROBERTA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/249228;eng;2003;-0;internazionale;-0;-0;-0;-0;-0;-0;London (UK);Proceedings of the 10th international conference and exhibition structural faults and repair;;-0;04.1 Contributo in Atti di convegno;none;3;"ANZANI, ANNA;BINDA, LUIGIA;FONTANA, ALBERTO";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/251099;-0;2003;-0;internazionale;-0;-0;-0;-0;-0;-0;Cassino (Italy);12th International Workshop on Robotics in Alpe-Adria-Danube Region (RAAD’03);;-0;04.1 Contributo in Atti di convegno;none;2;"CANINA, MARIA RITA;ROVETTA, ALBERTO";;;;;;;;
